"","Intrinsic","Batch","spin_cpm","pdac_cpm"
"COL6A4P1",1,5.73220146090305e-134,0.0492588820332477,0.285820731038838
"AL162412.1",1,5.767427343371e-134,0.0492588820332477,0.00912489356901347
"BNIP3P9",1,5.91971932279579e-134,0.0492588820332477,0.00459369485613852
"AF121897.1",1,6.08275124330041e-134,0.0492588820332477,0.301485607917511
"AC246817.1",1,6.13030965879577e-134,0.0492588820332477,0.058149880153097
"DDI1",1,6.51898633141438e-134,0.0492588820332477,0.142548345349025
"TVP23CP2",1,6.56304834430662e-134,0.0492588820332477,0.0915367615417524
"CLCP2",1,6.61187919024683e-134,0.0492588820332477,0
"FRG2B",1,6.63125597593823e-134,0.0492588820332477,0.11174731342313
"NPM1P49",1,6.66618927643215e-134,0.0492588820332477,0.0742278259978017
"TRPM5",1,6.72914538604339e-134,0.0985177640664954,0.0681585877286878
"AL031719.2",1,6.81943279398439e-134,0.0492588820332477,0.0141531180623495
"FST",1,6.8333006236539e-134,0.0492588820332477,1.04169481219513
"AC013472.3",1,7.00674567828679e-134,0.0492588820332477,0.0324924234258469
"GPR32",1,7.05290893408089e-134,0.0492588820332477,0.0454665003589997
"RRH",1,7.17462093789788e-134,0.0492588820332477,0.0213029465168506
"LINC00423",1,7.19075519138815e-134,0.0492588820332477,0.0124697056813608
"AC068790.4",1,7.19155766314169e-134,0.0492588820332477,0.00280110902404835
"LINC01967",1,7.54501932550677e-134,0.0492588820332477,0.00812312719948561
"RN7SL344P",1,7.65702177311037e-134,0.0985177640664954,0.00185808240128699
"HSD17B1P1",1,7.76546782399408e-134,0.0492588820332477,0.0123922587972941
"RN7SL219P",1,7.85926452786189e-134,0.0492588820332477,0
"RPSAP31",1,7.92331043935921e-134,0.0492588820332477,0.0736453098104824
"ATP1B1P1",1,7.92788785702604e-134,0.0985177640664954,0.0224088721923868
"RN7SKP97",1,7.97665161804364e-134,0.0492588820332477,0.00257940869593784
"ZNF705G",1,8.00599711426276e-134,0.0492588820332477,0.191746906613646
"DHH",1,8.05349224099231e-134,0.0492588820332477,0.0762650191202634
"AC022113.1",1,8.06305835537025e-134,0.0492588820332477,0.121662718033592
"AC005776.1",1,8.09618024099015e-134,0.0492588820332477,0.00253735983243682
"TDRD6",1,8.18353956299444e-134,0.0492588820332477,0.415879729141624
"LINC00334",1,8.25698675118784e-134,0.0492588820332477,0.102261502385275
"ASAP1-IT2",1,8.27261455811667e-134,0.0492588820332477,0.105282644552684
"LINC02082",1,8.31769928853849e-134,0.0492588820332477,0
"SNX18P7",1,8.39332247931486e-134,0.0492588820332477,0.0251460034459277
"AC008395.1",1,8.4231860142312e-134,0.0492588820332477,0
"ASLP1",1,8.60291845486559e-134,0.0492588820332477,0.0291847427462705
"KRT36",1,8.73370102004019e-134,0.0492588820332477,0.0162609737994734
"OR3B1P",1,8.84514832268996e-134,0.0492588820332477,0.0501766043498601
"AL606760.2",1,8.95142748560162e-134,0.0985177640664954,0.134234561811291
"AC073389.2",1,8.95202375729702e-134,0.0492588820332477,0
"LINC02236",1,9.02842901657824e-134,0.0492588820332477,0.0843356596928614
"AC093390.1",1,9.07530902074215e-134,0.0492588820332477,0.185377383626775
"AC008915.1",1,9.07584490201749e-134,0.0492588820332477,0.00918738971227705
"SNORD59A",1,9.09580298591221e-134,0.0492588820332477,0
"KRTAP5-7",1,9.17959968772244e-134,0.0492588820332477,0.0320914923296086
"AC010285.1",1,9.2347936612306e-134,0.0492588820332477,0
"RN7SKP271",1,9.25439388335083e-134,0.0492588820332477,0.058149880153097
"AL353801.2",1,9.47397359088251e-134,0.0492588820332477,0.0313477107025329
"RNU6-646P",1,9.49592081139567e-134,0.0492588820332477,0
"RARRES2P6",1,9.51030028568603e-134,0.0492588820332477,0.0096058976830498
"AC027682.2",1,9.79015202245478e-134,0.0492588820332477,0.00500580753767291
"AC096649.1",1,9.82064645094069e-134,0.0492588820332477,0
"RN7SL398P",1,9.91484121025871e-134,0.0492588820332477,0.008334608207848
"AP005482.1",1,1.00701859562265e-133,0.0492588820332477,0.113281041639931
"AC084824.4",1,1.00855422198519e-133,0.0985177640664954,0.0129048350636442
"RNU1-42P",1,1.01015239097097e-133,0.0492588820332477,0
"AP000962.2",1,1.02814511586726e-133,0.0492588820332477,0.038631180498303
"LAGE3P1",1,1.03822741442097e-133,0.0492588820332477,0.0229250807444269
"AC008753.1",1,1.03842227399855e-133,0.0492588820332477,0.0313101574394352
"AL442125.2",1,1.04295709681254e-133,0.0985177640664954,0.00445501689253305
"AC008906.2",1,1.04434663936381e-133,0.0492588820332477,0.0279380526726904
"AC016583.1",1,1.05322479680612e-133,0.0492588820332477,0.19493052469202
"AC060234.2",1,1.0656812601153e-133,0.0492588820332477,0.0345722617510838
"HNRNPA3P2",1,1.07136837084814e-133,0.0492588820332477,0.12658560990744
"OOEP",1,1.07389596356627e-133,0.0492588820332477,0.324408529797709
"AL136520.1",1,1.0951287223937e-133,0.0985177640664954,0.20649570672733
"AL022069.1",1,1.12731452224454e-133,0.147776646099743,0.0699972086947287
"SAMD12-AS1",1,1.13501800768088e-133,0.0492588820332477,0.00894408831503475
"AC104451.1",1,1.13895390091504e-133,0.0492588820332477,0
"AL022393.1",1,1.15587649077114e-133,0.0492588820332477,0.249040161438514
"AC234582.1",1,1.16010532238529e-133,0.0492588820332477,0.302403232014398
"CICP18",1,1.16214892737802e-133,0.0492588820332477,0.116736403292193
"TTC39A-AS1",1,1.1776879747453e-133,0.0985177640664954,0.0475133881091951
"LINC02013",1,1.189125828006e-133,0.0492588820332477,0.00459369485613852
"AL121894.2",1,1.18960974727751e-133,0.0492588820332477,0
"CPS1-IT1",1,1.20393255011636e-133,0.0492588820332477,0.0338874463436054
"AC002347.1",1,1.2062070664604e-133,0.0492588820332477,0
"ELOCP21",1,1.2227097995775e-133,0.0492588820332477,0.0137054926455255
"AL359091.4",1,1.23648418783691e-133,0.0492588820332477,0.0189613229967324
"HSPD1P9",1,1.24631129911521e-133,0.0492588820332477,0.0769822478350867
"FER1L6-AS1",1,1.32134647611275e-133,0.0985177640664954,0.234933728341161
"AC233724.12",1,1.33401606749674e-133,0.0492588820332477,0.0359468004115364
"HELT",1,1.37460558179401e-133,0.0492588820332477,0.109693229971535
"AC000078.1",1,1.39123457665353e-133,0.0492588820332477,0.0169495021054544
"LINC01713",1,1.46139259540514e-133,0.0985177640664954,0.165532688837369
"AC012173.1",1,1.4642605457172e-133,0.0492588820332477,0
"KRT43P",1,1.48661038710156e-133,0.0492588820332477,0.0142076847815452
"NR2E3",1,1.53504646504653e-133,0.0492588820332477,0.150517995531498
"DUX4L52",1,1.53705021967864e-133,0.0492588820332477,0.0662904037836164
"PES1P1",1,1.57355630425457e-133,0.0492588820332477,0.317413279579774
"OR52V1P",1,1.59304793677022e-133,0.0492588820332477,0
"AC007192.2",1,1.6321847328139e-133,0.0492588820332477,0.00617896721084089
"SRRM4",1,1.84595971623092e-133,0.0492588820332477,0.664442154378109
"ADAM7",1,1.9274386485954e-133,0.0492588820332477,0.139281106731177
"LINC01337",1,2.00414619058689e-133,0.0492588820332477,0.0735830244213443
