,Intrinsic,Extrinsic
ANK1,0.668129932,0.331870068
IBSP,0.8948139,0.1051861
TFB1M,0.999999998,2.17E-09
RABEP1,0.97550671,0.02449329
HMGB3,1,6.05E-11
NUP160,0.999576214,0.000423786
BAK1,0.409993657,0.590006343
MUSK,0.574112014,0.425887986
IKZF2,0.990457736,0.009542264
GRN,1,8.98E-16
FAM13B,0.247318639,0.752681361
ARHGAP31,0.999999991,9.23E-09
CENPQ,0.610039286,0.389960714
SARS,0.94024741,0.05975259
RANBP3,0.989893347,0.010106653
ARID4A,0.999903349,9.67E-05
EIPR1,0.999942143,5.79E-05
PNPLA6,0.999864471,0.000135529
IFT88,0.395939324,0.604060676
ALG1,0.97602911,0.02397089
ZCCHC8,0.966671242,0.033328758
ABCF2,0.991718458,0.008281542
CHPF2,1,1.32E-19
LRRC7,0.394450436,0.605549564
FUT8,0.407829723,0.592170277
UBA6,0.974253637,0.025746363
GAB2,0.999973284,2.67E-05
ATP6V0A1,0.869538547,0.130461453
PIAS1,0.597603603,0.402396397
SLC4A7,0.842745284,0.157254716
APBA2,0.749770321,0.250229679
MAP2K3,0.621755839,0.378244161
EFCAB1,1,1.70E-27
TMSB10,0.517672493,0.482327507
ASTE1,0.383567753,0.616432247
RNF19A,0.884824798,0.115175202
PEX3,0.849295887,0.150704113
GABARAPL2,0.398232082,0.601767918
MYOC,0.082495813,0.917504187
SH3YL1,0.972504973,0.027495027
FAM136A,0.984436849,0.015563151
VCL,0.341798793,0.658201207
DEPDC1B,0.157183878,0.842816122
DAPK2,1,1.20E-17
NSMAF,0.997229144,0.002770856
ADSS,0.967304705,0.032695295
STAP1,0.999784239,0.000215761
TIMP2,0.584121783,0.415878217
RFC1,0.681928686,0.318071314
TBC1D23,0.582225675,0.417774325
CUL3,0.91765078,0.08234922
MYOM2,0.978655254,0.021344746
OTC,0.058156956,0.941843044
CYP46A1,1,6.40E-39
ZZZ3,0.79385671,0.20614329
SLC18A1,0.751269336,0.248730664
USP2,1,2.07E-16
CASR,0.555265529,0.444734471
TUBG2,0.999999118,8.82E-07
RPL26L1,0.732510951,0.267489049
FLT4,0.614227833,0.385772167
NSUN2,0.900915778,0.099084222
FBXO42,0.999305601,0.000694399
MFAP3,0.518251059,0.481748941
MRI1,1,3.28E-11
METTL1,0.99998818,1.18E-05
HOXC8,1,4.14E-34
AGA,0.999999993,6.57E-09
PI4K2B,0.647940758,0.352059242
BOD1L1,0.999772912,0.000227088
MAT2B,0.738915004,0.261084996
TLL1,1,1.44E-31
EDC4,0.999708842,0.000291158
TRIO,0.99913893,0.00086107
VCAN,0.545798012,0.454201988
CLEC16A,0.839069967,0.160930033
MSR1,0.999889283,0.000110717
CDH1,1,1.74E-11
SKIV2L2,0.952248262,0.047751738
DNAH5,2.10E-07,0.99999979
ZFYVE16,0.999999534,4.66E-07
RIPOR1,0.999999996,4.23E-09
C6,1,9.46E-25
RAI14,0.999999965,3.50E-08
SOX30,5.60E-13,1
PNKP,1,3.92E-10
BEST2,0.294783127,0.705216873
