,Intrinsic,Extrinsic
ASS1P2,0.998231619,0.001768381
AC010136.1,0.967219152,0.032780848
NUP35P1,1,1.89E-26
MIR4432HG,1,8.39E-39
AC109779.1,0.282556248,0.717443752
AC142381.1,NA,NA
AC008074.1,0.527374625,0.472625375
KRT8P8,0.564590308,0.435409692
LINC01014,NA,NA
AL590302.1,0.67468822,0.32531178
AL353604.1,1.42E-05,0.9999858
AC244033.1,0.856943526,0.143056474
AL513008.1,NA,NA
AC016738.1,1,1.50E-45
AC092648.1,NA,NA
ROR1-AS1,0.869252261,0.130747739
AL133244.1,1.10E-27,1
C1QTNF5,0.825798377,0.174201623
MTND6P1,NA,NA
LINC01767,0.957447964,0.042552036
AC244505.2,NA,NA
AFG3L1P,0.999998783,1.22E-06
AC009948.1,0.999999981,1.91E-08
UBBP3,0.220322562,0.779677438
THAP12P8,0.644143797,0.355856203
ZNF587P1,5.97E-07,0.999999403
AL159990.1,NA,NA
AL603910.2,NA,NA
AC098614.2,NA,NA
AC002456.1,0.398595932,0.601404068
AC074397.1,0.560267941,0.439732059
DDX11L1,0.354847979,0.645152021
AC068491.1,1,1.06E-12
BNIP3P42,NA,NA
AP001048.1,NA,NA
EXTL2P1,NA,NA
AC138623.1,0.804129295,0.195870705
ZNF736P1Y,4.95E-07,0.999999505
SMCR2,1,6.49E-115
SNRPD2P2,NA,NA
HNRNPRP1,0.231643594,0.768356406
LINC01874,NA,NA
AC069421.1,NA,NA
RPL26P28,5.64E-07,0.999999436
AL357140.1,NA,NA
AC104809.1,0.807007599,0.192992401
AC025428.1,NA,NA
RPL32P35,NA,NA
TRDD1,NA,NA
AC244250.1,NA,NA
Z97198.1,4.82E-07,0.999999518
AL360081.1,0.900710762,0.099289238
YES1P1,0.882951592,0.117048408
ATP5C1P1,0.220836692,0.779163308
AC019070.1,0.806982173,0.193017827
LINC01441,0.737078787,0.262921213
AC110602.1,0.609235015,0.390764985
AC116917.1,0.074924437,0.925075563
AL390728.3,1,2.10E-115
AC063976.1,NA,NA
AC092681.1,0.185430046,0.814569954
LINC01449,NA,NA
AP000470.1,0.805754465,0.194245535
RPL21P32,NA,NA
MIR181A2HG,0.103670789,0.896329211
FLJ37035,0.317092767,0.682907233
AL353616.1,0.119891472,0.880108528
AL133456.1,NA,NA
LINC01853,NA,NA
AL450344.1,NA,NA
TCEAL3-AS1,NA,NA
EPB41L4A-AS1,0.715989741,0.284010259
CDY8P,NA,NA
LINC02561,0.378713964,0.621286036
SFPQP1,NA,NA
BX005214.1,NA,NA
CDYLP1,0.000275431,0.999724569
HMGN1P4,1,7.10E-16
IGKV3D-15,1,1.11E-11
MTND4P6,NA,NA
CCNT2-AS1,0.464689733,0.535310267
AL354761.1,NA,NA
AC005076.1,0.312742069,0.687257931
AC104777.1,NA,NA
AC108681.1,NA,NA
AL008723.1,0.903547161,0.096452839
CPTP,0.434353927,0.565646073
AL022163.1,0.91247725,0.08752275
GAPDHP55,0.683247768,0.316752232
EGFR-AS1,0.388176787,0.611823213
AC006509.1,NA,NA
HSPA8P16,0.510044012,0.489955988
ARSEP1,NA,NA
AC092106.2,1,7.99E-12
TUBB4BP5,NA,NA
AC007319.1,1,6.66E-46
AL356390.1,0.760812233,0.239187767
SRIP2,NA,NA
AL049795.1,NA,NA
AL354877.1,0.930837558,0.069162442
BX842559.1,NA,NA
HMGN1P6,0.053022603,0.946977397
AC009474.1,0.878807748,0.121192252
AL139811.1,0.699592218,0.300407782
LINC00691,0.891066332,0.108933668
TTTY22,NA,NA
AC009487.1,NA,NA
AP000936.1,NA,NA
SNHG14,0.99999181,8.19E-06
AC091729.1,6.96E-45,1
UBE2FP1,0.571760866,0.428239134
SLC44A3-AS1,1,3.50E-34
UBTFL8,1,1.17E-25
MTCO1P11,1,4.82E-39
RPL23AP41,0.187018752,0.812981248
AC245452.1,0.321287593,0.678712407
AC018865.1,0.842708643,0.157291357
CT47A10,NA,NA
AC097468.1,0.197810868,0.802189132
AC104389.1,0.557582478,0.442417522
AL591644.1,2.21E-06,0.999997791
AL109613.1,0.98762494,0.01237506
RPS24P8,0.86295943,0.13704057
LINC01935,NA,NA
AC021148.1,1,3.11E-13
AC104823.1,0.180867981,0.819132019
AP001630.1,NA,NA
ELMO1-AS1,0.738401781,0.261598219
AC079809.1,0.417627777,0.582372223
CYP4F25P,NA,NA
ETDB,0.016286224,0.983713776
CENPVL3,1.38E-06,0.999998615
MTRF1LP2,0.39277319,0.60722681
AL591846.1,0.921904128,0.078095872
INHBA-AS1,0.73918967,0.26081033
PTPN2P2,0.330234573,0.669765427
ATG12P2,NA,NA
POU6F2-AS1,NA,NA
POM121L10P,0.806969845,0.193030155
AC026271.2,1,3.35E-20
AC099786.1,NA,NA
LINC01248,0.048361844,0.951638156
DPPA2P2,0.923233151,0.076766849
AC112715.1,0.927434295,0.072565705
AC004866.2,NA,NA
AC007568.1,NA,NA
LINC01857,0.631586828,0.368413172
AC000123.1,NA,NA
MIR548XHG,0.759685051,0.240314949
AMMECR1-IT1,4.46E-07,0.999999554
ASH2LP1,0.002826268,0.997173732
AC099786.2,0.303421987,0.696578013
USP9YP28,NA,NA
AC009506.1,0.258295497,0.741704503
LINC02054,0.364285435,0.635714565
AC073136.2,0.346581183,0.653418817
HCG14,NA,NA
HMGB1P9,0.391531866,0.608468134
CICP10,NA,NA
AC098847.1,0.65842137,0.34157863
UQCRHP3,0.90699494,0.09300506
AC025594.1,NA,NA
AL133264.2,0.524135563,0.475864437
DNAJC27-AS1,0.988127852,0.011872148
PRYP1,NA,NA
AL390729.1,0.865283313,0.134716687
HSFY6P,NA,NA
AC091799.1,NA,NA
AC007422.1,NA,NA
AL137802.1,2.07E-52,1
LINC00570,0.578993138,0.421006862
SDHDP6,1,3.42E-17
MIR3681HG,1,4.17E-115
SNX18P9,NA,NA
C5orf66,0.743377255,0.256622745
LINC01991,0.009901253,0.990098747
UBE2D3P4,NA,NA
HAGLR,0.02942055,0.97057945
AL355537.1,NA,NA
AL080273.1,NA,NA
AC008278.1,0.922561886,0.077438114
AC022400.1,NA,NA
RPS23P10,NA,NA
PHEX-AS1,3.77E-07,0.999999623
AC253536.1,NA,NA
AC018797.1,0.387339354,0.612660646
AL590762.3,0.363815846,0.636184154
LINC00466,0.7024585,0.2975415
TRIM60P5Y,NA,NA
AL606469.1,5.97E-07,0.999999403
AC234781.1,0.999999987,1.33E-08
BX119904.1,1,2.55E-32
AC107072.1,NA,NA
AC074290.1,NA,NA
AC104699.1,1,2.67E-13
AC019205.1,0.954762207,0.045237793
AC024601.1,NA,NA
VSTM2A-OT1,0.06787317,0.93212683
HAUS1P2,0.828834003,0.171165997
OR2L1P,0.337663195,0.662336805
AL031599.1,NA,NA
LINC01832,NA,NA
AC005104.2,1,7.51E-26
AL645937.3,0.001056557,0.998943443
LINC01773,2.74E-07,0.999999726
MRRFP1,0.274497762,0.725502238
MINOS1P3,NA,NA
WARS2-IT1,0.746484878,0.253515122
AC090044.1,NA,NA
CYCSP49,NA,NA
LINC00403,0.850034057,0.149965943
AC073508.1,0.962711573,0.037288427
AL358232.1,NA,NA
AJ009632.1,0.883589542,0.116410458
AC025947.1,NA,NA
AL391427.1,1,2.21E-134
AC113618.1,0.946070204,0.053929796
MTCO1P39,NA,NA
PDCL3P6,0.999998841,1.16E-06
Z93930.1,NA,NA
VWC2L-IT1,NA,NA
LINC01133,0.862444022,0.137555978
AL023754.1,NA,NA
RPSAP18,0.121717172,0.878282828
CYCSP12,0.718590121,0.281409879
AC068707.1,NA,NA
AL772155.1,NA,NA
AP000697.1,NA,NA
AL117329.1,0.68190083,0.31809917
AC131097.3,1,5.42E-44
AC005077.2,0.021816943,0.978183057
ENSAP1,NA,NA
AL355388.1,0.95996658,0.04003342
AP000345.1,NA,NA
AL592447.1,NA,NA
RPS29P31,NA,NA
AC005014.1,0.221198721,0.778801279
SLC25A5-AS1,0.410539751,0.589460249
AC010469.1,0.526139134,0.473860866
LINC01142,0.956666812,0.043333188
MSL3P1,0.999812379,0.000187621
MTCYBP11,0.820448603,0.179551397
IFIT6P,0.475975152,0.524024848
AC012671.1,NA,NA
AF196972.1,0.261811241,0.738188759
PINCR,1,6.22E-44
OLFM5P,1,2.40E-29
MRPL49P1,NA,NA
AL158825.1,0.143299664,0.856700336
MTATP6P16,0.008251231,0.991748769
OR51P1P,0.241778438,0.758221562
AL590502.1,NA,NA
AL500527.1,1.19E-05,0.999988055
AL161785.1,1,4.86E-34
LINC01527,NA,NA
ANKRD30BP2,0.598972059,0.401027941
LINC01567,0.726508008,0.273491992
AL590640.1,NA,NA
MCCD1P2,NA,NA
AC005002.1,0.961831214,0.038168786
RPL7P7,1,3.14E-42
GTF2IP5,0.274497755,0.725502245
CHL1-AS2,0.937753105,0.062246895
RPL12P14,0.836220398,0.163779602
AC004009.1,NA,NA
DPRXP1,0.392672759,0.607327241
THAP5P1,0.561767465,0.438232535
AL136234.1,NA,NA
MDC1-AS1,0.298067867,0.701932133
LINC00297,1,1.61E-55
AC005019.2,NA,NA
AC019181.1,NA,NA
GAPDHP20,NA,NA
AP000357.1,0.977281725,0.022718275
AC239809.1,NA,NA
FAM197Y1,NA,NA
FAM8A3P,0.750318226,0.249681774
MTCYBP45,NA,NA
AL121578.1,NA,NA
AL590639.1,0.033141807,0.966858193
AC006965.1,0.741632715,0.258367285
AC007879.1,NA,NA
KNOP1P3,NA,NA
BICD1P1,0.766587932,0.233412068
SCEL-AS1,NA,NA
AL592076.1,NA,NA
AL365226.1,0.192427164,0.807572836
CDKN2AIPNLP3,NA,NA
AC132479.1,NA,NA
ACE3P,NA,NA
MTND2P5,0.91618519,0.08381481
AL356966.1,0.877241156,0.122758844
ATG3P1,0.947318513,0.052681487
AL451074.2,0.999999998,1.80E-09
AL358176.1,NA,NA
AC011239.1,7.60E-07,0.99999924
FP700111.1,NA,NA
AC073261.1,NA,NA
AC243964.1,NA,NA
OACYLP,0.468735322,0.531264678
ARAFP2,NA,NA
AC093392.2,NA,NA
AL391361.2,NA,NA
HLA-N,NA,NA
IGHV4-59,0.999999999,8.80E-10
AL023693.1,NA,NA
AC009276.1,NA,NA
AC017104.1,0.769336357,0.230663643
LINC00703,1,2.59E-43
PRR29,0.88254665,0.11745335
AL033379.1,NA,NA
AL139246.1,NA,NA
BACE2-IT1,NA,NA
C4B,0.83331423,0.16668577
LINC01280,1,2.56E-62
GPC6-AS2,0.943295445,0.056704555
METTL15P3,0.816553086,0.183446914
SMIM25,0.493463758,0.506536242
AC010880.1,NA,NA
RPL7P57,0.161902135,0.838097865
OR6D1P,0.520455157,0.479544843
DPPA2P3,0.966153099,0.033846901
Z68323.1,NA,NA
LINC00572,2.06E-07,0.999999794
LINC02052,0.88440999,0.11559001
AL136988.1,0.891064769,0.108935231
USP9YP22,NA,NA
AC114489.1,NA,NA
AC097499.1,NA,NA
HSP90AA2P,0.944536473,0.055463527
AC022022.1,0.319815427,0.680184573
AP001476.1,0.884841468,0.115158532
AC010886.1,1,8.62E-44
AC007683.1,0.486322584,0.513677416
IFNA22P,0.020881104,0.979118896
AL606970.1,6.19E-26,1
STK24-AS1,0.959999655,0.040000345
KRT18P27,3.90E-06,0.9999961
ADM5,1,7.39E-36
ATP5J2LP,NA,NA
PRKAR2A-AS1,0.179223842,0.820776158
AC073869.2,0.999999933,6.68E-08
SLC31A1P1,0.999999959,4.05E-08
AP000281.1,0.887982366,0.112017634
LINC00539,0.963417084,0.036582916
MKRN5P,1,5.27E-22
AC063976.2,0.736590114,0.263409886
NF1P6,0.885228079,0.114771921
BX323014.1,NA,NA
PIGUP1,0.252198482,0.747801518
RPL23AP14,0.041164859,0.958835141
RPSAP10,0.927337154,0.072662846
CXorf51A,NA,NA
AC068831.2,NA,NA
AC017035.1,NA,NA
AC006509.2,NA,NA
LINC01708,0.821362815,0.178637185
U91328.1,NA,NA
AC005020.1,1,4.28E-23
ATP5F1P1,NA,NA
RSL24D1P6,0.411917251,0.588082749
GUSBP6,0.054521678,0.945478322
AL450998.2,0.14128227,0.85871773
C4BPAP1,NA,NA
AC079354.2,NA,NA
PGAM1P6,NA,NA
SOCS2P2,0.909156862,0.090843138
CDCA4P2,0.567233917,0.432766083
AC009313.1,0.991592871,0.008407129
AL354953.1,NA,NA
AC009517.1,0.962347925,0.037652075
ATXN1L,0.951867364,0.048132636
MTCO3P19,0.054944741,0.945055259
CCND3P1,0.918298348,0.081701652
AC073900.1,0.957243208,0.042756792
RPL36P16,NA,NA
AL109933.1,0.808768915,0.191231085
AL356417.1,1,3.77E-13
AC104162.1,0.456881064,0.543118936
AC245100.1,0.564075742,0.435924258
HSFY4P,NA,NA
AC023141.2,1,8.58E-44
USP9YP7,NA,NA
AL662795.1,1,9.09E-25
SAMM50P1,NA,NA
TTC21B-AS1,0.548551817,0.451448183
AC093156.1,0.774819511,0.225180489
HNRNPA3P14,0.093228098,0.906771902
RPL36P4,6.12E-07,0.999999388
MAPKAPK5P1,0.173371413,0.826628587
AL731575.1,NA,NA
AC025428.2,0.229143102,0.770856898
AC138150.1,1,8.09E-12
LINC02523,0.740228317,0.259771683
AC010884.1,NA,NA
POLR2KP2,NA,NA
LINC00365,0.930480184,0.069519816
AC109309.1,NA,NA
LINC00620,0.976012992,0.023987008
AL590385.1,NA,NA
AC068134.1,NA,NA
HTR2A-AS1,NA,NA
AC006989.1,NA,NA
HMGN1P19,0.220510093,0.779489907
KRT8P45,0.000575289,0.999424711
AC098483.1,0.521707643,0.478292357
AL445213.1,0.009993361,0.990006639
CYCSP42,NA,NA
AL591686.1,0.668283945,0.331716055
AC093698.2,NA,NA
PPIAP10,0.038977295,0.961022705
SMIM13,0.999999994,5.66E-09
AL136361.1,NA,NA
TMLHE-AS1,0.199169029,0.800830971
AC092803.1,NA,NA
AC096677.1,1,5.96E-12
MEP1AP4,1.68E-07,0.999999832
SAGE4P,NA,NA
AC092810.1,0.290528616,0.709471384
AP001439.1,NA,NA
SNRPGP15,1,2.84E-13
AC008264.1,NA,NA
EIF4BP3,0.296625676,0.703374324
ZNF619P1,0.396331221,0.603668779
Z75741.1,NA,NA
AC017067.1,NA,NA
AC114491.1,0.837428608,0.162571392
HMGB3P21,1,6.77E-26
AC008065.1,0.263442541,0.736557459
AC087441.1,1,9.16E-97
BX510359.1,NA,NA
HLA-DPB2,1,1.52E-18
LINC01087,0.686167773,0.313832227
AC108043.1,0.559468657,0.440531343
LPP-AS1,NA,NA
LINC01754,0.988336291,0.011663709
FAM96AP2,0.946944417,0.053055583
AC134879.1,NA,NA
LINC01886,5.64E-07,0.999999436
AC095052.1,0.332753651,0.667246349
AC097063.1,0.391888399,0.608111601
USP9YP13,NA,NA
AC083863.1,0.869342577,0.130657423
COL18A1-AS2,NA,NA
LINC01117,0.161903495,0.838096505
HNRNPA1P48,0.864596731,0.135403269
AC245052.2,NA,NA
LINC01015,0.090027766,0.909972234
AL356277.2,NA,NA
UBE2V1P13,NA,NA
AC103563.1,NA,NA
GPX5,1,2.83E-44
AC112492.1,0.213940432,0.786059568
MTND3P16,NA,NA
AL139158.2,NA,NA
AC092427.1,NA,NA
AC041040.1,1.78E-07,0.999999822
AC073626.1,0.775573751,0.224426249
ZMIZ1-AS1,1,1.22E-17
SVIL-AS1,0.803332695,0.196667305
RPS5P2,0.575038144,0.424961856
BMS1P12,NA,NA
AL031864.2,NA,NA
RPS26P5,NA,NA
BX664725.1,NA,NA
AC008069.1,7.37E-07,0.999999263
AL080284.1,NA,NA
TGFA-IT1,NA,NA
IGKV1D-27,NA,NA
HSD52,0.080967439,0.919032561
AC108879.1,0.999430596,0.000569404
AC007919.1,NA,NA
AC079150.1,NA,NA
AC095032.1,0.580305098,0.419694902
TNK2-AS1,0.612326873,0.387673127
RTCA-AS1,0.180003021,0.819996979
BX276092.1,NA,NA
AC096921.1,NA,NA
MEF2AP1,NA,NA
AL451042.1,NA,NA
OR9R1P,0.671550008,0.328449992
TUBB8P6,0.965073953,0.034926047
AC106053.1,NA,NA
RPL37P10,NA,NA
AL121723.1,1,3.78E-19
AC004975.1,0.349712787,0.650287213
AC234064.1,NA,NA
RPS27AP16,0.452309827,0.547690173
Z73361.1,NA,NA
ZNF736P6Y,NA,NA
AL391095.1,1,2.84E-27
PDSS1P2,NA,NA
AC106900.1,0.922544119,0.077455881
SRSF1P1,0.67491456,0.32508544
AC064871.1,0.448413253,0.551586747
AL135787.1,NA,NA
AL391069.1,5.23E-06,0.999994769
AC007387.1,0.724629367,0.275370633
AC026954.1,0.802317167,0.197682833
LINC01627,NA,NA
AF124730.1,NA,NA
IGHV3-74,1,2.10E-14
LINC00885,1,9.55E-26
AC023141.3,NA,NA
LINC01823,0.849477044,0.150522956
AL009172.1,5.99E-07,0.999999401
RBMY2BP,NA,NA
AL513164.1,NA,NA
GAGE12J,0.954608352,0.045391648
SH3BP5-AS1,1,6.49E-21
AC010907.1,0.635049458,0.364950542
ATP6V1G1P3,3.54E-07,0.999999646
RPL36AP53,NA,NA
Z84484.1,NA,NA
AC013470.1,0.893814258,0.106185742
IPO8P1,0.630594247,0.369405753
AC016769.2,0.830164398,0.169835602
AC068135.1,NA,NA
AC105940.1,NA,NA
RPL17P10,1,2.57E-134
EIF3EP2,0.918293273,0.081706727
AC009227.1,0.694654953,0.305345047
PDIA3P2,NA,NA
GAPDHP46,0.004446769,0.995553231
MED15P4,NA,NA
PLA2G12AP1,0.262665618,0.737334382
BX664727.1,NA,NA
SOCS5P2,0.897337428,0.102662572
RPL36AP29,NA,NA
AC099670.2,NA,NA
ELOCP23,NA,NA
RASAL2-AS1,0.281192124,0.718807876
E2F6P2,0.617220141,0.382779859
ZNF812P,0.19578176,0.80421824
UBE2D3P3,NA,NA
AL133553.1,NA,NA
Z68694.1,0.926310529,0.073689471
MTND6P7,0.601761671,0.398238329
NEFMP1,0.304064733,0.695935267
AL390038.1,NA,NA
LAMTOR5-AS1,0.9999999,1.00E-07
AP000844.1,NA,NA
MED28P4,NA,NA
AL390730.1,5.32E-07,0.999999468
RPS17P13,0.265019473,0.734980527
E2F3-IT1,NA,NA
OR11M1P,0.033029166,0.966970834
FAM90A8P,NA,NA
LINC01706,0.060894232,0.939105768
NPIPA3,0.667954421,0.332045579
AC025165.1,1,1.01E-31
AC024600.1,1,2.71E-52
Z82186.1,1,8.19E-28
AC098936.1,0.089389958,0.910610042
LINC01657,0.747966847,0.252033153
AC009237.2,NA,NA
AC007182.1,0.093684473,0.906315527
AC020688.1,0.673842662,0.326157338
GUSBP10,8.01E-05,0.999919869
CEP57L1P1,0.469464352,0.530535648
FCF1P7,1,4.20E-25
IMPDH1P8,1,1.00E-96
PCOLCE-AS1,0.006942234,0.993057766
LILRB1-AS1,0.989566815,0.010433185
AC016716.2,0.868211759,0.131788241
MAGEA7P,0.999999957,4.25E-08
AL034349.1,NA,NA
BX323845.1,NA,NA
AC099850.1,0.289885788,0.710114212
AC016735.1,NA,NA
TEX26-AS1,0.662326803,0.337673197
AC063965.1,0.07184294,0.92815706
AC015987.1,0.999932283,6.77E-05
MTCYBP21,NA,NA
AL391704.1,1,2.25E-31
SHMT1P1,0.916984529,0.083015471
VN1R21P,1,2.88E-43
HMGN1P34,NA,NA
LINC01167,5.21E-06,0.999994791
C1DP3,NA,NA
AL117339.1,NA,NA
CR769776.1,NA,NA
FDPSP8,0.308408329,0.691591671
AL353768.1,0.941180131,0.058819869
AL035443.1,0.895967612,0.104032388
MUC20P1,1,3.96E-14
ATP2B2-IT2,0.959825612,0.040174388
HSPA8P7,1,2.45E-43
BRAFP1,0.000953951,0.999046049
RPSAP50,0.000923288,0.999076712
OR4F2P,NA,NA
CENPIP1,NA,NA
EIF4A2P4,0.735594878,0.264405122
MIPEPP2,0.0426482,0.9573518
AL591704.2,NA,NA
AC006026.1,0.749593207,0.250406793
CETN4P,0.005333427,0.994666573
AL138775.1,NA,NA
AC012363.1,1,7.75E-44
AP000704.1,1,2.14E-48
KRT18P39,0.871472125,0.128527875
IQCF4,0.113176801,0.886823199
AL022326.1,0.233427204,0.766572796
NTM-AS1,0.923238743,0.076761257
AL645931.1,1,4.08E-22
AL359092.1,7.82E-05,0.999921811
AL139397.1,0.951547946,0.048452054
RPS27AP6,0.932346148,0.067653852
TUBB4BP2,0.000530405,0.999469595
LINC00853,0.23520219,0.76479781
ARL5AP4,0.719585086,0.280414914
DUX4L9,0.635226417,0.364773583
SRGAP3-AS1,NA,NA
BEND3P2,1,4.68E-58
AL355482.1,0.584070903,0.415929097
TMEM72-AS1,1,3.58E-27
AC114812.2,NA,NA
AL691447.1,4.55E-07,0.999999545
NAP1L4P2,1,5.87E-25
AC010789.1,1.06E-06,0.999998944
AC096677.2,NA,NA
AC093843.1,NA,NA
BTF3P4,1,3.79E-43
COL4A2-AS2,1,1.82E-25
THRB-IT1,0.364285432,0.635714568
RORB-AS1,1.78E-137,1
AC019109.1,0.160291321,0.839708679
LINC00265-2P,NA,NA
TOMM20P1,NA,NA
OR2X1P,NA,NA
AC117395.2,0.354642959,0.645357041
LINC01689,0.94844218,0.05155782
BTF3P9,NA,NA
AL356498.1,0.077232607,0.922767393
GCSHP5,1,2.52E-13
RPL12P17,0.351465754,0.648534246
AL161908.1,3.35E-07,0.999999665
LINC00240,1,1.05E-19
AC107079.1,2.19E-05,0.99997811
AL133351.1,0.240685024,0.759314976
AL589843.1,0.999999942,5.85E-08
LINC00502,NA,NA
MTND5P24,0.175671771,0.824328229
LINC00393,NA,NA
CDKN2A-AS1,0.953288561,0.046711439
OPA1-AS1,0.258733504,0.741266496
AL035398.1,0.19992873,0.80007127
LINC01691,NA,NA
RPL29P11,1,7.78E-12
GXYLT1P2,0.919952124,0.080047876
YBX1P1,0.667624879,0.332375121
LINC01398,1,6.86E-25
AC011447.1,NA,NA
AC009518.1,0.195431835,0.804568165
USP9YP25,NA,NA
AC062016.1,NA,NA
AL391244.1,0.999999934,6.55E-08
CDY13P,NA,NA
AC083949.1,1,5.66E-23
AL121901.1,0.950372837,0.049627163
NDUFAF8,0.942657879,0.057342121
AC011754.1,NA,NA
MTCYBP29,0.196593358,0.803406642
AC068279.1,0.201503045,0.798496955
Z99716.1,NA,NA
AC034187.1,0.978184856,0.021815144
EIPR1-IT1,NA,NA
AL132656.1,1,2.45E-40
AL513318.1,0.7879588,0.2120412
AC138028.2,0.158816772,0.841183228
AC007899.1,1,7.71E-63
RPS4XP16,0.141546187,0.858453813
AL160162.1,NA,NA
VPS26BP1,1,3.16E-24
SIGLEC30P,0.501096435,0.498903565
POT1-AS1,0.341217224,0.658782776
AC019155.3,0.948038446,0.051961554
AL365258.1,NA,NA
GAGE12H,NA,NA
AC005534.1,NA,NA
AL021155.1,0.055037354,0.944962646
AP001347.1,1,2.99E-32
AC005840.2,0.932562318,0.067437682
RPL21P91,NA,NA
TIMM8BP2,0.999999965,3.46E-08
LINC01766,NA,NA
LINC00863,0.703671273,0.296328727
APOC4-APOC2,1,2.30E-43
AC016694.1,NA,NA
AC066595.1,0.836872439,0.163127561
AL591684.1,NA,NA
TACC1P1,0.908329912,0.091670088
AL050303.1,NA,NA
LINC00320,1,1.77E-43
NDUFA5P10,3.77E-07,0.999999623
KRT8P30,0.842675578,0.157324422
AC152010.1,1,1.12E-43
LINC02262,NA,NA
LINC01034,NA,NA
AL391684.1,1,1.18E-114
AL589678.1,0.811076774,0.188923226
SUCLA2P1,0.682574437,0.317425563
LINC00184,1,1.89E-46
PRRT4,0.247040286,0.752959714
AL137014.1,NA,NA
AL663023.1,0.345285961,0.654714039
CASC6,0.963357785,0.036642215
AL353150.1,2.92E-06,0.999997084
AC007312.1,NA,NA
VN1R25P,0.067521664,0.932478336
ATP5G1P8,NA,NA
AL589872.1,NA,NA
AL390066.1,0.999999989,1.12E-08
SRIP3,7.45E-07,0.999999255
KCTD10P1,NA,NA
LINC01266,1,2.61E-32
PGM5-AS1,0.584070878,0.415929122
AC017002.1,0.60800079,0.39199921
PPP4R3CP,0.843006719,0.156993281
LINC01752,0.047527661,0.952472339
PSAT1P4,0.97193807,0.02806193
U82695.1,2.24E-05,0.999977639
TRAPPC2P3,NA,NA
KCNC4-AS1,8.84E-07,0.999999116
TBC1D3P6,NA,NA
AC009303.1,1.03E-06,0.999998966
LINC01645,0.76412645,0.23587355
AL645608.2,NA,NA
AC245427.2,NA,NA
SUMO2P3,0.391919103,0.608080897
AL513412.1,0.584070867,0.415929133
LARGE-AS1,0.668386177,0.331613823
INE1,1,6.26E-17
PARP4P2,0.588796929,0.411203071
AL121983.1,NA,NA
BX682237.1,NA,NA
RPL23AP85,0.800317609,0.199682391
AC000367.1,0.110655651,0.889344349
TMEM233,0.999748297,0.000251703
AL512363.1,NA,NA
AL590714.1,2.08E-31,1
PPP1R8P1,1,1.44E-46
AL024507.1,0.95443187,0.04556813
AL158207.1,NA,NA
FAM41AY1,NA,NA
AL445645.1,0.982995351,0.017004649
RPL29P12,0.429133684,0.570866316
LINC01526,NA,NA
VTA1P1,0.816485515,0.183514485
AC010082.1,0.917871011,0.082128989
AL732323.1,NA,NA
OR51A5P,1,1.01E-25
AC211485.1,0.775480201,0.224519799
AL929288.1,0.84161553,0.15838447
AC000067.1,0.832146583,0.167853417
AC234781.2,0.999993682,6.32E-06
AL671862.1,NA,NA
AL121872.1,0.813902662,0.186097338
KCTD9P1,1,4.78E-13
LINC00328-2P,NA,NA
AP004289.1,1.24E-06,0.999998762
AC092647.1,1,9.62E-26
UBE2D3P1,0.999801179,0.000198821
AC015977.1,4.61E-05,0.999953901
KIF4CP,1,3.13E-115
AC091492.1,1,4.50E-13
IFNWP4,NA,NA
AC096541.1,0.397493176,0.602506824
AL355483.1,NA,NA
EIF4BP7,0.57724959,0.42275041
AL162586.1,1,1.13E-27
CDK4P1,0.833321431,0.166678569
EIF1AX-AS1,2.35E-07,0.999999765
LINC01058,0.016935489,0.983064511
RPL18AP2,NA,NA
AC018814.1,NA,NA
MTND5P27,0.922929763,0.077070237
AL035423.1,NA,NA
AL355592.1,NA,NA
HMGB3P22,0.095061062,0.904938938
PRPF38AP1,0.3806392,0.6193608
AL606490.1,NA,NA
AL121894.1,6.03E-07,0.999999397
AC012485.1,0.72157343,0.27842657
AC092941.1,NA,NA
CATIP-AS1,0.000114276,0.999885724
AC093422.2,NA,NA
LINC01802,4.10E-07,0.99999959
Z93929.1,0.870364954,0.129635046
RPL23AP2,0.287200114,0.712799886
AL080312.1,0.480952805,0.519047195
AC004552.1,0.996710298,0.003289702
OR7E116P,0.820215779,0.179784221
AL603832.1,5.57E-07,0.999999443
WWC3-AS1,NA,NA
LINC00337,1,2.51E-44
AL365338.1,NA,NA
FTH1P22,0.390526428,0.609473572
PFN1P4,NA,NA
DAP3P1,NA,NA
GRTP1-AS1,0.218739212,0.781260788
AL450226.1,0.933645239,0.066354761
AL162726.1,NA,NA
AL583808.1,NA,NA
SNORA71A,0.999999713,2.87E-07
AL355336.1,1,2.94E-41
RPL3P7,0.988930056,0.011069944
SETP20,0.866044201,0.133955799
AL445250.1,0.230413959,0.769586041
BCRP1,NA,NA
ATP6V1E1P1,0.31670969,0.68329031
DPY19L2P5,NA,NA
OR52K3P,0.99999999,1.02E-08
AL157373.1,NA,NA
LINC01076,NA,NA
AL162457.2,0.019895966,0.980104034
AC092484.1,NA,NA
ZBTB45P1,4.63E-07,0.999999537
PNMA6F,0.364285452,0.635714548
AC083900.1,0.650700436,0.349299564
AL157392.1,0.926931386,0.073068614
AL355310.1,NA,NA
AL353193.1,0.485571951,0.514428049
ARSDP1,NA,NA
AL392103.1,NA,NA
EEF1B2P5,7.36E-07,0.999999264
AL603841.1,NA,NA
AL139008.1,0.492901633,0.507098367
RPL23AP36,0.799698625,0.200301375
RANP4,1,2.48E-20
